rule,n,hits,hit_rate,base_rate,lift
effort_low + volcluster_high + ret20_high + dist_high_near,339,0,0.0,0.0037542139135764633,0.0
downreject_low + undercut_low + ret20_high + range_expand,339,0,0.0,0.0037542139135764633,0.0
effort_low + volcluster_high + ret20_low + range_expand,336,0,0.0,0.0037542139135764633,0.0
downreject_low + undercut_low + dist_high_near + vol_expand,333,0,0.0,0.0037542139135764633,0.0
undercut_low + volcluster_high + ret20_high + range_expand,331,0,0.0,0.0037542139135764633,0.0
effort_low + volcluster_high + ret20_high + range_expand,329,0,0.0,0.0037542139135764633,0.0
effort_low + volcluster_high + hvclose_low + vol_expand,328,0,0.0,0.0037542139135764633,0.0
downreject_low + undercut_low + dist_high_near + range_expand,328,0,0.0,0.0037542139135764633,0.0
hvclose_low + ret20_low + vol_expand,317,0,0.0,0.0037542139135764633,0.0
absorb_high + ret20_low + range_expand + vol_expand,317,0,0.0,0.0037542139135764633,0.0
effort_low + volcluster_high + ret20_low + vol_expand,314,0,0.0,0.0037542139135764633,0.0
undercut_low + hvclose_low + dist_high_near,311,0,0.0,0.0037542139135764633,0.0
effort_low + undercut_low + volcluster_high + dist_high_near,308,0,0.0,0.0037542139135764633,0.0
undercut_low + ret20_high + range_expand + vol_expand,308,0,0.0,0.0037542139135764633,0.0
hvclose_low + ret20_low + range_expand,306,0,0.0,0.0037542139135764633,0.0
effort_low + volcluster_high + dist_high_near + vol_expand,305,0,0.0,0.0037542139135764633,0.0
absorb_high + effort_low + volcluster_high + dist_high_near,301,0,0.0,0.0037542139135764633,0.0
effort_low + ret20_high + range_expand + vol_expand,301,0,0.0,0.0037542139135764633,0.0
absorb_high + hvclose_low + range_expand,299,0,0.0,0.0037542139135764633,0.0
absorb_high + downreject_low + hvclose_low + vol_expand,291,0,0.0,0.0037542139135764633,0.0
absorb_high + downreject_low + ret20_low + vol_expand,291,0,0.0,0.0037542139135764633,0.0
volcluster_high + hvclose_low + ret20_low + vol_expand,291,0,0.0,0.0037542139135764633,0.0
absorb_high + undercut_low + ret20_high + range_expand,286,0,0.0,0.0037542139135764633,0.0
absorb_high + effort_low + undercut_low + dist_high_near,285,0,0.0,0.0037542139135764633,0.0
effort_low + volcluster_high + dist_high_near + range_expand,285,0,0.0,0.0037542139135764633,0.0
