symbol,market_cap_hkd,market_cap_hkd_bn,name
3877.HK,15170356224,15.17,CSSC SHIPPING
2637.HK,15166891008,15.17,HAIXI PHARMA
2556.HK,15140515840,15.14,MARKETINGFORCE
2672.HK,15139706880,15.14,BAIGE DIGITAL
0956.HK,14987801600,14.99,CHINA SUNTIEN
2314.HK,14925124608,14.93,LEE & MAN PAPER
6699.HK,14858613760,14.86,ANGELALIGN
3900.HK,14805859328,14.81,GREENTOWN CHINA
2580.HK,14762646528,14.76,AUX ELECTRIC
1191.HK,14731479040,14.73,CREALIGHTS
6049.HK,14674401280,14.67,POLY PPT SER
0440.HK,14647283712,14.65,DAH SING
0901.HK,14646850560,14.65,SDMC
0068.HK,14646800384,14.65,MANYCORE TECH
1626.HK,14640000000,14.64,JIA YAO HLDGS
1286.HK,14624115712,14.62,IMPRO PRECISION
0363.HK,14590380032,14.59,SHANGHAI IND H
0107.HK,14586946560,14.59,SICHUAN EXPRESS
2715.HK,14559050752,14.56,ESTUN
0017.HK,14545948672,14.55,NEW WORLD DEV
1060.HK,14506841088,14.51,DAMAI ENT
0326.HK,14379124736,14.38,CHINA STAR ENT
3393.HK,14354302976,14.35,WASION HOLDINGS
9900.HK,14344320000,14.34,ZCLOUD TECH CON
9668.HK,14298411008,14.3,CBHB
0800.HK,14210904064,14.21,WERIDE-W
0639.HK,14178618368,14.18,SHOUGANG RES
3339.HK,14102930432,14.1,LONKING
2630.HK,14078214144,14.08,VIGONVITA-B
3918.HK,14065110016,14.07,NAGACORP
1066.HK,14037380096,14.04,WEIGAO GROUP
1956.HK,13902565376,13.9,WENGE AI
3928.HK,13778880512,13.78,CHINA NEXT-GEN
0069.HK,13746594816,13.75,SHANGRI-LA ASIA
6865.HK,13719304192,13.72,FLAT GLASS
9911.HK,13627598848,13.63,NEWBORNTOWN
3369.HK,13521537024,13.52,QHD PORT
1783.HK,13502624768,13.5,ENVISION GREEN
2675.HK,13442617344,13.44,EDGE MEDICAL-B
0323.HK,13322178560,13.32,MAANSHAN IRON
0586.HK,13314865152,13.31,CONCH VENTURE
6199.HK,13275122688,13.28,BANK OF GUIZHOU
0579.HK,13273658368,13.27,JNCEC
1579.HK,13203495936,13.2,YIHAI INTL
2729.HK,13153145856,13.15,GALAXIS TECH
0856.HK,13146900480,13.15,VSTECS
1833.HK,13142547456,13.14,PA GOODDOCTOR
0600.HK,13130569728,13.13,AXERA
0152.HK,13076435968,13.08,SHENZHEN INT'L
1686.HK,13008504832,13.01,SUNEVISION
2778.HK,12934644736,12.93,CHAMPION REIT
3752.HK,12898398208,12.9,ROKAE ROBOTICS
2038.HK,12861167616,12.86,FIH
0123.HK,12861129728,12.86,YUEXIU PROPERTY
1117.HK,12856569856,12.86,CH MODERN D
6666.HK,12756756480,12.76,EVERG SERVICES
2869.HK,12734028800,12.73,GREENTOWN SER
2285.HK,12698494976,12.7,CHERVON
1866.HK,12689439744,12.69,CHINA XLX FERT
9898.HK,12664421376,12.66,WB-SW
3677.HK,12529435648,12.53,ZENERGY
9636.HK,12506653696,12.51,JF SMARTINVEST
1578.HK,12505336832,12.51,BANK OF TIANJIN
0303.HK,12492478464,12.49,VTECH HOLDINGS
9981.HK,12465996800,12.47,WOER
3310.HK,12443812864,12.44,VIEWTRIX TECH
9971.HK,12439364608,12.44,BASICSEMI
0590.HK,12364490752,12.36,LUK FOOK HOLD
1033.HK,12322079744,12.32,SINOPEC SSC
2299.HK,12197580800,12.2,BILLION IND
1918.HK,12132397056,12.13,SUNAC
2866.HK,12103612416,12.1,COSCO SHIP DEV
1428.HK,12067776512,12.07,BRIGHT SMART
7687.HK,11945817088,11.95,EACON
6675.HK,11808274432,11.81,SENASIC
6616.HK,11797774336,11.8,GLOBAL NEW MAT
6067.HK,11739039744,11.74,SENIOR MATERIAL
1316.HK,11720879104,11.72,NEXTEER
0338.HK,11649592320,11.65,SHANGHAI PECHEM
2142.HK,11599698944,11.6,HBM HOLDINGS-B
3306.HK,11447820288,11.45,JNBY
0336.HK,11372392448,11.37,HUABAO INTL
0565.HK,11306425344,11.31,ART GROUP HOLD
1681.HK,11151605760,11.15,CONSUN PHARMA
6855.HK,11042308096,11.04,ASCENTAGE
0546.HK,11028811776,11.03,FUFENG GROUP
2589.HK,10998842368,11.0,AUNTEA JENNY
0347.HK,10915142656,10.92,ANGANG STEEL
9887.HK,10878028800,10.88,LEADS BIOLABS-B
1112.HK,10877709312,10.88,H&H INTL HLDG
1384.HK,10877455360,10.88,DEEPEXI TECH
1083.HK,10871107584,10.87,TG SMART ENERGY
2669.HK,10853489664,10.85,CHINA OVS PPT
9611.HK,10840927232,10.84,LONGCHEER
1999.HK,10839942144,10.84,MAN WAH HLDGS
1030.HK,10753751040,10.75,SEAZEN
2546.HK,10751237120,10.75,ZHIHUI MINING
0041.HK,10751234048,10.75,GREAT EAGLE H
0697.HK,10653095936,10.65,SHOUCHENG
0636.HK,10609609728,10.61,KLN
3388.HK,10503233536,10.5,CREALITY
0467.HK,10469085184,10.47,UNITEDENERGY GP
0165.HK,10322179072,10.32,CHINA EB LTD
0999.HK,10252235776,10.25,XIAOCAIYUAN
2692.HK,10244423680,10.24,ZHAOWEI
1216.HK,10233951232,10.23,ZYBANK
0081.HK,10233202688,10.23,CH OVS G OCEANS
2025.HK,10160000000,10.16,RUIFENG POWER
0880.HK,10084563968,10.08,SJM HOLDINGS
0038.HK,10017297408,10.02,FIRST TRACTOR
2595.HK,9922150400,9.92,GENFLEET-B
2261.HK,9900538880,9.9,NASN TECH
6808.HK,9826719744,9.83,SUNART RETAIL
6600.HK,9825525760,9.83,ONEROBOTICS
2128.HK,9752198144,9.75,CHINA LESSO
2233.HK,9750620160,9.75,WESTCHINACEMENT
1952.HK,9734499328,9.73,EVEREST MED
3881.HK,9686195200,9.69,CIDI
1836.HK,9665312768,9.67,STELLA HOLDINGS
1511.HK,9602865152,9.6,UISEE TECH
2432.HK,9591027712,9.59,DOBOT
0354.HK,9564868608,9.56,CHINASOFT INT'L
1368.HK,9552023552,9.55,XTEP INT'L
1501.HK,9517075456,9.52,INT MEDICAL
0517.HK,9462845440,9.46,COSCO SHIP INTL
1672.HK,9417063424,9.42,ASCLETIS-B
1361.HK,9375224832,9.38,361 DEGREES
0863.HK,9352525824,9.35,OSL GROUP
2493.HK,9283053568,9.28,MABWELL-B
0805.HK,9220799488,9.22,NEW GONOW RV
9615.HK,9214778368,9.21,MECH-MIND ROBOT
0975.HK,9170350080,9.17,MONGOL MINING
0934.HK,9149068288,9.15,SINOPEC KANTONS
2666.HK,9053850624,9.05,UNI MEDICAL
6938.HK,9030290432,9.03,RIBOLIFE-B
2155.HK,8967016448,8.97,MORIMATSU INTL
9690.HK,8954742784,8.95,TUHU-W
1811.HK,8952426496,8.95,CGN NEW ENERGY
0990.HK,8934534144,8.93,DEEP SOURCE
1236.HK,8933335040,8.93,LDROBOT
7688.HK,8892904448,8.89,TOPNC
1883.HK,8882140160,8.88,CITIC TELECOM
0778.HK,8876579840,8.88,FORTUNE REIT
9637.HK,8855451648,8.86,ALEBUND-B
1330.HK,8855317504,8.86,DYNAGREEN ENV
3983.HK,8851200000,8.85,CHINA BLUECHEM
0045.HK,8834782208,8.83,HK&S HOTELS
0297.HK,8815691776,8.82,SINOFERT
1114.HK,8728315904,8.73,BRILLIANCE CHI
9699.HK,8649372672,8.65,SF INTRA-CITY
0116.HK,8638216192,8.64,CHOW SANG SANG
