symbol,market,reversal_date,entry_date,delay,rule,entry,reversal_score,ret_3d,maxup_3d,maxdd_3d,ret_5d,maxup_5d,maxdd_5d,ret_10d,maxup_10d,maxdd_10d
CVX,US,2023-08-08,2023-08-11,3,PREV5_HIGH,143.41650390625,6,-0.03362760752697325,0.0006094185360216997,-0.03460234822543873,-0.010379038326007728,0.0006094185360216997,-0.03460234822543873,-0.02132654476928475,0.0006094185360216997,-0.03621077022434227
CVX,US,2023-08-08,2023-08-09,1,REV_HIGH+EMA20,139.66836547851562,6,0.02608554766988025,0.027461759793961926,-0.0015013030364786628,-0.007694050652299889,0.027461759793961926,-0.00869494947939009,0.005758247348007339,0.027461759793961926,-0.01034653507000205
CVX,US,2023-08-08,2023-08-11,3,BOTH_HIGHS,143.41650390625,6,-0.03362760752697325,0.0006094185360216997,-0.03460234822543873,-0.010379038326007728,0.0006094185360216997,-0.03460234822543873,-0.02132654476928475,0.0006094185360216997,-0.03621077022434227
CVX,US,2023-08-08,2023-08-11,3,BOTH_HIGHS+EMA20,143.41650390625,6,-0.03362760752697325,0.0006094185360216997,-0.03460234822543873,-0.010379038326007728,0.0006094185360216997,-0.03460234822543873,-0.02132654476928475,0.0006094185360216997,-0.03621077022434227
CVX,US,2023-08-23,2023-08-28,3,REV_HIGH,141.31939697265625,6,0.00555525082956243,0.006491553838781083,-0.006928395250059505,0.039011249571883955,0.045877180221890246,-0.006928395250059505,0.04119609895062437,0.05230643183009054,-0.006928395250059505
CVX,US,2023-08-23,2023-08-28,3,REV_HIGH+EMA20,141.31939697265625,6,0.00555525082956243,0.006491553838781083,-0.006928395250059505,0.039011249571883955,0.045877180221890246,-0.006928395250059505,0.04119609895062437,0.05230643183009054,-0.006928395250059505
CVX,US,2023-10-05,2023-10-09,2,REV_HIGH,147.06179809570312,5,-0.03292946699063959,0.004078650668517092,-0.037428077961036865,-0.007917540046827876,0.004078650668517092,-0.037428077961036865,-0.036228442010151185,0.020693293043741567,-0.03880757276663627
CVX,US,2023-10-05,2023-10-09,2,REV_HIGH+EMA20,147.06179809570312,5,-0.03292946699063959,0.004078650668517092,-0.037428077961036865,-0.007917540046827876,0.004078650668517092,-0.037428077961036865,-0.036228442010151185,0.020693293043741567,-0.03880757276663627
CVX,US,2024-06-06,2024-06-07,1,REV_HIGH,142.0577392578125,5,-0.011917104122323163,0.013582741102796891,-0.02357783614928699,-0.022488328548460723,0.013582741102796891,-0.026332550485753448,0.020694430958197563,0.022168006765371562,-0.026589056225249097
CVX,US,2024-07-10,2024-07-12,2,REV_HIGH,141.6117401123047,5,0.036249118732522234,0.0378559058475012,0.0035993364892032975,0.02288079078798977,0.055852048920787434,0.0035993364892032975,0.014461137329892404,0.055852048920787434,-0.013946748796180963
CVX,US,2024-07-10,2024-07-15,3,PREV5_HIGH,143.84164428710938,5,0.02486717134096117,0.03948370925438982,-0.01195895583538642,-0.006643713682025543,0.03948370925438982,-0.01195895583538642,-0.009111675789233331,0.03948370925438982,-0.02923303304533975
