rule,support,gap_hits,control_hits,gap_coverage,control_coverage,precision_in_sample,lift
near_high_5 + range_vs_prior_075 + higher_lows_2of2,13,4,9,0.12121212121212122,0.09090909090909091,0.3076923076923077,1.3333333333333333
atr_expand_110 + ema20_gt_ema50,36,11,25,0.3333333333333333,0.25252525252525254,0.3055555555555556,1.3199999999999998
shallow_pullback_8 + volume_expand_110 + ema20_gt_ema50,23,7,16,0.21212121212121213,0.16161616161616163,0.30434782608695654,1.3125
shallow_pullback_8 + atr_expand_110,30,9,21,0.2727272727272727,0.21212121212121213,0.3,1.2857142857142856
range_vs_prior_075 + higher_lows_2of2,20,6,14,0.18181818181818182,0.1414141414141414,0.3,1.2857142857142858
shallow_pullback_8 + range_contract_075 + volume_expand_110,10,3,7,0.09090909090909091,0.0707070707070707,0.3,1.2857142857142858
shallow_pullback_8 + volume_expand_110 + higher_lows_2of2,10,3,7,0.09090909090909091,0.0707070707070707,0.3,1.2857142857142858
volume_expand_110 + trend_stack + higher_lows_2of2,10,3,7,0.09090909090909091,0.0707070707070707,0.3,1.2857142857142858
volume_expand_110 + higher_lows_2of2 + close_gt_ema20,10,3,7,0.09090909090909091,0.0707070707070707,0.3,1.2857142857142858
shallow_pullback_8 + range_vs_prior_075 + higher_lows_2of2,17,5,12,0.15151515151515152,0.12121212121212122,0.29411764705882354,1.25
shallow_pullback_8 + volume_expand_110 + close_gt_ema20,28,8,20,0.24242424242424243,0.20202020202020202,0.2857142857142857,1.2
range_vs_prior_075 + volume_dry_080,14,4,10,0.12121212121212122,0.10101010101010101,0.2857142857142857,1.2
volume_expand_110 + higher_lows_2of2 + ema20_gt_ema50,14,4,10,0.12121212121212122,0.10101010101010101,0.2857142857142857,1.2
